No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
1,0.01,0.48,1.61,0.024,0.019,17.33,10.62,2.09,0.06,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.5
2,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.1
3,0.01,0.46,1.09,0.021,0.001,17.4,11.5,2.88,0.105,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,0.9
4,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.7
5,0.012,0.46,1.54,0.027,0.023,16.28,10.15,2.06,0.098,0,0.15,0,0.02,0,0,0,3.18,100,12,4.23,4,1.5
6,0.018,0.51,1.37,0.021,0.009,16.95,11.25,2.23,0.097,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.4
7,0.017,0.49,1.73,0.025,0.004,16.55,11.65,2.13,0.1,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.8
8,0.02,0.48,1.39,0.025,0.015,17.27,11.51,2.2,0.083,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.4
9,0.006,0.51,1.71,0.021,0.001,17.35,13.02,2.49,0.096,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3.1
10,0.01,0.52,1.75,0.019,0.001,17.25,12.9,2.56,0.101,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3
11,0.011,0.51,1.7,0.02,0.001,17.25,12.85,2.47,0.094,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3.1
12,0.006,0.52,1.72,0.02,0.002,17.34,12.87,2.49,0.093,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,2.7
13,0.009,0.52,1.73,0.02,0.001,17.3,12.9,2.5,0.099,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,2.2
14,0.016,0.47,1.66,0.024,0.011,16.3,10.13,2.11,0.054,0,0.2,0.18,0.02,0,0,0,3.18,100,12,4.23,4,1.2
15,0.065,0.51,1.54,0.03,0.025,18.39,8.6,0.21,0.078,0,0.13,0,0.02,0,0,0,3.18,100,12,4.23,4,1.1
16,0.058,0.68,1.62,0.02,0.029,20.32,9.16,0.24,0.078,0,0.16,0,0.02,0,0,0,3.18,100,12,4.23,4,0.7
17,0.015,0.54,1.43,0.026,0.008,18.19,9.17,0.29,0.078,0,0.18,0.027,0.02,0,0,0,3.18,100,12,4.23,4,0.6
18,0.022,0.32,1.51,0.025,0.004,17.38,10.48,0.24,0.03,0.4,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.8
19,0.033,0.43,1.67,0.028,0.002,18.15,10.2,0.56,0.004,0.43,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.2
20,0.028,0.34,1.75,0.03,0.008,18.3,10.42,0.49,0.028,0.41,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.6
21,0.045,0.28,1.6,0.03,0.015,18.3,10.7,0,0.03,0.6,0.12,0,0.02,0,0,0,3.18,100,12,4.23,4,2.2
22,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,4,2.5
23,0.03,0.35,1.7,0.029,0.011,18.28,10.53,0,0.026,0.36,0,0,0.02,0,0,0,3.18,100,12,4.23,4,0.7
24,0.03,0.42,1.66,0.024,0.009,17.96,10.46,0,0.024,0.33,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.4
